beneficiario,EJERCICIO,programa,componente,unidad_administrativa,cve_entidad,entidad,monto_federal_aportado,tipo_cobertura,nom_abr,rnpa,unidadeconmica,tipo_ue,tipopersona_ue,representantelegal_ue,tipoempresa_ue,estado_ue,cve_ent_ue,municipio,cve_mun,localidad_ue,cve_loc,cve_inegi,ambito_ue,latitud_ue,longitud_ue,altitud_ue,lat_dec_ue,lon_dec_ue,iniciooper,fechaderegistroactualizacion_ue,RNPA_disponible,zona,clasificacion_cn
SCPP RIBERENA DEMETRIO SOBERANES CASTRO SCL,2012,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,2,BAJA CALIFORNIA,490572,ESTATAL,BC,207001264,SCPP DEMETRIO SOBERANES CASTRO SCL,CAPTURA,MORAL,RAFAEL ESPINOZA SOBERANES,COOPERATIVA,BAJA CALIFORNIA,2,MEXICALI,2,SAN FELIPE,284,20020284,U,310122.513,1145020.045,10,31.02292,-114.838901,18/05/2013,13/05/16,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
SCPP RIBERENA DEMETRIO SOBERANES CASTRO SCL,2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,ORDENAMIENTO Y VIGILANCIA PESQUERA Y ACUICOLA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,2,BAJA CALIFORNIA,315439.2,ESTATAL,BC,207001264,SCPP DEMETRIO SOBERANES CASTRO SCL,CAPTURA,MORAL,RAFAEL ESPINOZA SOBERANES,COOPERATIVA,BAJA CALIFORNIA,2,MEXICALI,2,SAN FELIPE,284,20020284,U,310122.513,1145020.045,10,31.02292,-114.838901,18/05/2013,13/05/16,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
SCPP RIBERENA DEMETRIO SOBERANES CASTRO SCL,2018,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,CUMPLIMIENTO Y OBSERVANCIA NORMATIVA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,2,BAJA CALIFORNIA,190725,ESTATAL,BC,207001264,SCPP DEMETRIO SOBERANES CASTRO SCL,CAPTURA,MORAL,RAFAEL ESPINOZA SOBERANES,COOPERATIVA,BAJA CALIFORNIA,2,MEXICALI,2,SAN FELIPE,284,20020284,U,310122.513,1145020.045,10,31.02292,-114.838901,18/05/2013,13/05/16,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
SCPP RIBERENA DEMETRIO SOBERANES CASTRO SCL,2013,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,2,BAJA CALIFORNIA,489760,ESTATAL,BC,207001264,SCPP DEMETRIO SOBERANES CASTRO SCL,CAPTURA,MORAL,RAFAEL ESPINOZA SOBERANES,COOPERATIVA,BAJA CALIFORNIA,2,MEXICALI,2,SAN FELIPE,284,20020284,U,310122.513,1145020.045,10,31.02292,-114.838901,18/05/2013,13/05/16,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
SCPP RIBERENA ISLAS UNIDAS SC DE RL,2016,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,ORDENAMIENTO PESQUERO Y ACUICOLA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,28,TAMAULIPAS,156906,ESTATAL,TAMPS,2807000233,SCPP RIBERENA ISLAS UNIDAS SC DE RL,CAPTURA,MORAL,ALEJANDRO GONZALEZ GARCIA,COOPERATIVA,TAMAULIPAS,28,MATAMOROS,22,HEROICA MATAMOROS,1,280220001,U,255247.695,973017.361,9,25.879915,-97.504823,18/08/2011,27/04/16,Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
SCPP RIBERENA ISLAS UNIDAS SC DE RL,2011,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,28,TAMAULIPAS,258930,ESTATAL,TAMPS,2807000233,SCPP RIBERENA ISLAS UNIDAS SC DE RL,CAPTURA,MORAL,ALEJANDRO GONZALEZ GARCIA,COOPERATIVA,TAMAULIPAS,28,MATAMOROS,22,HEROICA MATAMOROS,1,280220001,U,255247.695,973017.361,9,25.879915,-97.504823,18/08/2011,27/04/16,Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
SCPP RIBERENA ISLAS UNIDAS SC DE RL,2015,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,SOPORTE PARA LA VIGILANCIA DE LOS RECURSOS PESQUEROS Y ACUICOLAS,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,28,TAMAULIPAS,151807.5,ESTATAL,TAMPS,2807000233,SCPP RIBERENA ISLAS UNIDAS SC DE RL,CAPTURA,MORAL,ALEJANDRO GONZALEZ GARCIA,COOPERATIVA,TAMAULIPAS,28,MATAMOROS,22,HEROICA MATAMOROS,1,280220001,U,255247.695,973017.361,9,25.879915,-97.504823,18/08/2011,27/04/16,Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
SCPP RIBERENA ISLAS UNIDAS SC DE RL,2009,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,28,TAMAULIPAS,258250,ESTATAL,TAMPS,2807000233,SCPP RIBERENA ISLAS UNIDAS SC DE RL,CAPTURA,MORAL,ALEJANDRO GONZALEZ GARCIA,COOPERATIVA,TAMAULIPAS,28,MATAMOROS,22,HEROICA MATAMOROS,1,280220001,U,255247.695,973017.361,9,25.879915,-97.504823,18/08/2011,27/04/16,Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
SCPP RIBERENA ISLAS UNIDAS SC DE RL,2012,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,28,TAMAULIPAS,341640,ESTATAL,TAMPS,2807000233,SCPP RIBERENA ISLAS UNIDAS SC DE RL,CAPTURA,MORAL,ALEJANDRO GONZALEZ GARCIA,COOPERATIVA,TAMAULIPAS,28,MATAMOROS,22,HEROICA MATAMOROS,1,280220001,U,255247.695,973017.361,9,25.879915,-97.504823,18/08/2011,27/04/16,Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
SCPP RIBERENA ISLAS UNIDAS SC DE RL,2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,SOPORTE PARA LA VIGILANCIA DE LOS RECURSOS PESQUEROS Y ACUICOLAS,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,28,TAMAULIPAS,121852.5,ESTATAL,TAMPS,2807000233,SCPP RIBERENA ISLAS UNIDAS SC DE RL,CAPTURA,MORAL,ALEJANDRO GONZALEZ GARCIA,COOPERATIVA,TAMAULIPAS,28,MATAMOROS,22,HEROICA MATAMOROS,1,280220001,U,255247.695,973017.361,9,25.879915,-97.504823,18/08/2011,27/04/16,Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
SCPP RIBERENA LA SANTA MARIA SC DE RL DE CV,2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,SOPORTE PARA LA VIGILANCIA DE LOS RECURSOS PESQUEROS Y ACUICOLAS,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,20,OAXACA,395048,ESTATAL,OAX,2003000169,SCPP RIBERENA LA SANTA MARIA SC DE RL DE CV,"ACUACULTURA, CAPTURA",MORAL,FERNANDO REY LOPEZ JIMENEZ,COOPERATIVA,OAXACA,20,SANTA MARIA HUATULCO,413,SANTA MARIA HUATULCO,1,204130001,U,155010.001,961919.535,220,15.836111,-96.322093,18/08/2011,4/5/2017,Disponible,PACIFICO SUR,INSPECCIÓN Y VIGILANCIA
SCPP RIBERENA PESCADORES DE SAN FERNANDO SC DE RL,2011,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,28,TAMAULIPAS,517860,ESTATAL,TAMPS,2804001689,SCPP PESCADORES DE SAN FERNANDO SCL,CAPTURA,MORAL,NO DISPONIBLE,COOPERATIVA,NO DISPONIBLE,28,NO DISPONIBLE,NA,NO DISPONIBLE,NA,NA,NA,NA,NA,NA,NA,NA,18/08/2011,18/08/11,Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
SCPP RIBERENA PESCADORES DE SAN FERNANDO SC DE RL,2009,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,28,TAMAULIPAS,258250,ESTATAL,TAMPS,2804001689,SCPP PESCADORES DE SAN FERNANDO SCL,CAPTURA,MORAL,NO DISPONIBLE,COOPERATIVA,NO DISPONIBLE,28,NO DISPONIBLE,NA,NO DISPONIBLE,NA,NA,NA,NA,NA,NA,NA,NA,18/08/2011,18/08/11,Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
SCPP RINCON DE LAS FLORES SC DE RL,2010,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,28,TAMAULIPAS,280970,ESTATAL,TAMPS,2804001176,SCPP RINCON DE LAS FLORES SC DE RL,CAPTURA,MORAL,ANTONIO MARTINEZ MARCOS,COOPERATIVA,TAMAULIPAS,28,MATAMOROS,22,RINCON DE LAS FLORES,579,280220579,R,252547.18,972735.56,0,25.429772,-97.459878,18/08/2011,9/5/2016,Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
SCPP RINCON DE LAS FLORES SC DE RL,2012,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,28,TAMAULIPAS,512460,ESTATAL,TAMPS,2804001176,SCPP RINCON DE LAS FLORES SC DE RL,CAPTURA,MORAL,ANTONIO MARTINEZ MARCOS,COOPERATIVA,TAMAULIPAS,28,MATAMOROS,22,RINCON DE LAS FLORES,579,280220579,R,252547.18,972735.56,0,25.429772,-97.459878,18/08/2011,9/5/2016,Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
SCPP TIBURONEROS Y ESCAMEROS DE LAS COSTAS DE COLIMA SC DE RL,2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,ORDENAMIENTO Y VIGILANCIA PESQUERA Y ACUICOLA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,6,COLIMA,796764,ESTATAL,COL,601002207,SCPP TIB Y ESC DE LAS COSTAS DE COLIMA SC DE RL,CAPTURA,MORAL,FRANCISCO PEREZ SANCHEZ,COOPERATIVA,COLIMA,6,MANZANILLO,7,EL COLOMO,21,60070021,U,190336.229,1041528.681,10,19.060064,-104.257967,18/08/2011,1/12/2014,Disponible,PACIFICO SUR,INSPECCIÓN Y VIGILANCIA
SCPP TIBURONEROS Y ESCAMEROS DE LAS COSTAS DE COLIMA SC DE RL,2015,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,SOPORTE PARA LA VIGILANCIA DE LOS RECURSOS PESQUEROS Y ACUICOLAS,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,6,COLIMA,832400,ESTATAL,COL,601002207,SCPP TIB Y ESC DE LAS COSTAS DE COLIMA SC DE RL,CAPTURA,MORAL,FRANCISCO PEREZ SANCHEZ,COOPERATIVA,COLIMA,6,MANZANILLO,7,EL COLOMO,21,60070021,U,190336.229,1041528.681,10,19.060064,-104.257967,18/08/2011,1/12/2014,Disponible,PACIFICO SUR,INSPECCIÓN Y VIGILANCIA
SCPP TIBURONEROS Y ESCAMEROS DE LAS COSTAS DE COLIMA SC DE RL,2013,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,6,COLIMA,358200,ESTATAL,COL,601002207,SCPP TIB Y ESC DE LAS COSTAS DE COLIMA SC DE RL,CAPTURA,MORAL,FRANCISCO PEREZ SANCHEZ,COOPERATIVA,COLIMA,6,MANZANILLO,7,EL COLOMO,21,60070021,U,190336.229,1041528.681,10,19.060064,-104.257967,18/08/2011,1/12/2014,Disponible,PACIFICO SUR,INSPECCIÓN Y VIGILANCIA
SCPP TIBURONEROS Y ESCAMEROS DE LAS COSTAS DE COLIMA SC DE RL,2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,SOPORTE PARA LA VIGILANCIA DE LOS RECURSOS PESQUEROS Y ACUICOLAS,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,6,COLIMA,606800,ESTATAL,COL,601002207,SCPP TIB Y ESC DE LAS COSTAS DE COLIMA SC DE RL,CAPTURA,MORAL,FRANCISCO PEREZ SANCHEZ,COOPERATIVA,COLIMA,6,MANZANILLO,7,EL COLOMO,21,60070021,U,190336.229,1041528.681,10,19.060064,-104.257967,18/08/2011,1/12/2014,Disponible,PACIFICO SUR,INSPECCIÓN Y VIGILANCIA
SCPP TZIQUIA SC DE RL,2009,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,22,QUERETARO,45396,ESTATAL,QRO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,AGUAS INTERIORES,INSPECCIÓN Y VIGILANCIA
SCPP TZIQUIA SC DE RL,2010,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,22,QUERETARO,33696,ESTATAL,QRO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,AGUAS INTERIORES,INSPECCIÓN Y VIGILANCIA
SCPP UNIDOS EN LAS 2OO MILLAS SC DE RL DE CV,2012,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,28,TAMAULIPAS,121880,ESTATAL,TAMPS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
SCPP UNIDOS EN LAS 2OO MILLAS SC DE RL DE CV,2013,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,28,TAMAULIPAS,163450,ESTATAL,TAMPS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
SCPP UNIDOS EN LAS 2OO MILLAS SC DE RL DE CV,2009,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,28,TAMAULIPAS,1471940,ESTATAL,TAMPS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
SCPP UNIDOS EN LAS 2OO MILLAS SC DE RL DE CV,2011,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,28,TAMAULIPAS,731892.12,ESTATAL,TAMPS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
SCPP UNIDOS EN LAS 2OO MILLAS SC DE RL DE CV,2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,SOPORTE PARA LA VIGILANCIA DE LOS RECURSOS PESQUEROS Y ACUICOLAS,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,28,TAMAULIPAS,173470,ESTATAL,TAMPS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
SCPP Y COMERCIALIZACION DEL NOROESTE DE MEXICO SCL,2018,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,CUMPLIMIENTO Y OBSERVANCIA NORMATIVA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,26,SONORA,1075320,ESTATAL,SON,2609001504,SCPP Y COMERCIALIZACION DEL NOROESTE DE MEXICO SCL,CAPTURA,MORAL,CARLOS ARMANDO LOPEZ MEDINA,COOPERATIVA,SONORA,26,HUATABAMPO,33,HUATABAMPO,1,260330001,U,264936.829,1093838.952,9,26.826897,-109.644153,18/08/2011,21/03/17,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
SCPP Y TURISMO CATORCE DE AGOSTO SC DE RL,2009,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,22,QUERETARO,45396,ESTATAL,QRO,2200000392,SCPP Y TURISMO CATORCE DE AGOSTO SC DE RL,CAPTURA,MORAL,MARIA TERESA PEREZ MEZA,COOPERATIVA,QUERETARO,22,CADEREYTA DE MONTES,4,BELLA VISTA DEL RIO,213,220040213,R,204131.574,993430.335,1874,20.692104,-99.575093,10/5/1999,15/07/15,Disponible,AGUAS INTERIORES,INSPECCIÓN Y VIGILANCIA
SCPP Y TURISTICA LA FLORIDA SC DE RL DE CV,2009,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,13,HIDALGO,92320,ESTATAL,HGO,1300000997,SCPP Y TURISTICA LA FLORIDA SC DE RL DE CV,CAPTURA,MORAL,JOSE ANTONIO RAMIREZ MUNOZ,COOPERATIVA,HIDALGO,13,TASQUILLO,58,LA FLORIDA,11,130580011,R,203539.27,992326.431,1571,20.594242,-99.390675,18/08/2011,24/05/16,Disponible,AGUAS INTERIORES,INSPECCIÓN Y VIGILANCIA
SCPP Y TURISTICA NUEVO AMANECER SC DE RL DE CV,2009,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,13,HIDALGO,92320,ESTATAL,HGO,1300001037,SCPP Y TURISTICA NUEVO AMANECER SC DE RL DE CV,CAPTURA,MORAL,MARCO ANTONIO TREJO MARTINEZ,COOPERATIVA,HIDALGO,13,ZIMAPAN,84,VICENTE GUERRERO (EL TABLON),61,130840061,R,203649.13,992152.533,1920,20.613647,-99.364593,18/08/2011,19/06/15,Disponible,AGUAS INTERIORES,INSPECCIÓN Y VIGILANCIA
SCPP Y TURISTICA NUEVO AMANECER SC DE RL DE CV,2010,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,13,HIDALGO,27192,ESTATAL,HGO,1300001037,SCPP Y TURISTICA NUEVO AMANECER SC DE RL DE CV,CAPTURA,MORAL,MARCO ANTONIO TREJO MARTINEZ,COOPERATIVA,HIDALGO,13,ZIMAPAN,84,VICENTE GUERRERO (EL TABLON),61,130840061,R,203649.13,992152.533,1920,20.613647,-99.364593,18/08/2011,19/06/15,Disponible,AGUAS INTERIORES,INSPECCIÓN Y VIGILANCIA
SCPPA EJIDO DE PAJARITOS SC DE RL DE CV,2016,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,ORDENAMIENTO PESQUERO Y ACUICOLA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,18,NAYARIT,88124,ESTATAL,NAY,1803000601,SCPPA EJIDO PAJARITOS SC DE RL DE CV,CAPTURA,MORAL,ARISTEO HERRERA ESCAMILLA,SOCIEDAD DE RESPONSABILIDAD LIMITADA,NAYARIT,18,TECUALA,16,PAJARITOS,32,180160032,R,222727.569,1053142.706,3,22.457658,-105.528529,18/08/2011,3/4/2017,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
SCPPA FRATERNIDAD DE PESCADORES DE PIMIENTILLO SC DE RL DE CV,2013,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,18,NAYARIT,153089.3,ESTATAL,NAY,1805001045,SCPPA FRAT DE PESC DE PIMIENTILLO SC DE RL DE CV,CAPTURA,MORAL,JULIAN LOPEZ BAQUERA,COOPERATIVA,NAYARIT,18,ROSAMORADA,10,PIMIENTILLO,25,180100025,R,220058.038,1052438.956,0,22.016122,-105.410821,10/3/1994,5/7/2016,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
SCPPA GRANJEROS DE PERICOS SC DE RL DE CV,2016,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,ORDENAMIENTO PESQUERO Y ACUICOLA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,18,NAYARIT,88124,ESTATAL,NAY,1805000708,SCPPA GRANJEROS DE PERICOS SC DE RL DE CV,CAPTURA,MORAL,ANTONIO ARAMBULA PONCE,COOPERATIVA,NAYARIT,18,ROSAMORADA,10,PERICOS,22,180100022,R,220257.212,1052115.908,1,22.049226,-105.354419,10/10/1994,8/3/2017,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
SCPPA GRANJEROS DE PERICOS SC DE RL DE CV,2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,ORDENAMIENTO Y VIGILANCIA PESQUERA Y ACUICOLA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,18,NAYARIT,125421.6,ESTATAL,NAY,1805000708,SCPPA GRANJEROS DE PERICOS SC DE RL DE CV,CAPTURA,MORAL,ANTONIO ARAMBULA PONCE,COOPERATIVA,NAYARIT,18,ROSAMORADA,10,PERICOS,22,180100022,R,220257.212,1052115.908,1,22.049226,-105.354419,10/10/1994,8/3/2017,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
SCPPA LA UNICA DE SAN MIGUEL SC DE RL DE CV,2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,ORDENAMIENTO Y VIGILANCIA PESQUERA Y ACUICOLA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,18,NAYARIT,125421.6,ESTATAL,NAY,1805000781,SCPPA LA UNICA DE SAN MIGUEL SC DE RL DE CV,CAPTURA,MORAL,JOSE MARTIN ROSALES LOPEZ,COOPERATIVA,NAYARIT,18,ROSAMORADA,10,SAN MIGUEL,53,180100053,R,220959,1050242,157,22.166389,-105.045,28/02/2012,21/02/17,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
SCPPA LLANO DEL TIGRE SC DE RL DE CV,2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,ORDENAMIENTO Y VIGILANCIA PESQUERA Y ACUICOLA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,18,NAYARIT,125421.6,ESTATAL,NAY,1805000849,SCPPA LLANO DEL TIGRE SC DE RL DE CV,CAPTURA,MORAL,ELVIS ORLANDO DURAN TIZNADO,COOPERATIVA,NAYARIT,18,ROSAMORADA,10,LLANO DEL TIGRE,14,180100014,R,220737.716,1051815.88,3,22.127143,-105.304411,18/08/2011,10/2/2017,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
SCPPA LLANO DEL TIGRE SC DE RL DE CV,2012,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,18,NAYARIT,144430,ESTATAL,NAY,1805000849,SCPPA LLANO DEL TIGRE SC DE RL DE CV,CAPTURA,MORAL,ELVIS ORLANDO DURAN TIZNADO,COOPERATIVA,NAYARIT,18,ROSAMORADA,10,LLANO DEL TIGRE,14,180100014,R,220737.716,1051815.88,3,22.127143,-105.304411,18/08/2011,10/2/2017,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
SCPPA LLANO DEL TIGRE SC DE RL DE CV,2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,SOPORTE PARA LA VIGILANCIA DE LOS RECURSOS PESQUEROS Y ACUICOLAS,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,18,NAYARIT,118612,ESTATAL,NAY,1805000849,SCPPA LLANO DEL TIGRE SC DE RL DE CV,CAPTURA,MORAL,ELVIS ORLANDO DURAN TIZNADO,COOPERATIVA,NAYARIT,18,ROSAMORADA,10,LLANO DEL TIGRE,14,180100014,R,220737.716,1051815.88,3,22.127143,-105.304411,18/08/2011,10/2/2017,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
SCPPA LLANO DEL TIGRE SC DE RL DE CV,2013,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,18,NAYARIT,153089.3,ESTATAL,NAY,1805000849,SCPPA LLANO DEL TIGRE SC DE RL DE CV,CAPTURA,MORAL,ELVIS ORLANDO DURAN TIZNADO,COOPERATIVA,NAYARIT,18,ROSAMORADA,10,LLANO DEL TIGRE,14,180100014,R,220737.716,1051815.88,3,22.127143,-105.304411,18/08/2011,10/2/2017,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
SCPPA LLANO DEL TIGRE SC DE RL DE CV,2018,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,CUMPLIMIENTO Y OBSERVANCIA NORMATIVA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,18,NAYARIT,138138,ESTATAL,NAY,1805000849,SCPPA LLANO DEL TIGRE SC DE RL DE CV,CAPTURA,MORAL,ELVIS ORLANDO DURAN TIZNADO,COOPERATIVA,NAYARIT,18,ROSAMORADA,10,LLANO DEL TIGRE,14,180100014,R,220737.716,1051815.88,3,22.127143,-105.304411,18/08/2011,10/2/2017,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
SCPPA LLANO DEL TIGRE SC DE RL DE CV,2016,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,ORDENAMIENTO PESQUERO Y ACUICOLA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,18,NAYARIT,100796,ESTATAL,NAY,1805000849,SCPPA LLANO DEL TIGRE SC DE RL DE CV,CAPTURA,MORAL,ELVIS ORLANDO DURAN TIZNADO,COOPERATIVA,NAYARIT,18,ROSAMORADA,10,LLANO DEL TIGRE,14,180100014,R,220737.716,1051815.88,3,22.127143,-105.304411,18/08/2011,10/2/2017,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
SCPPA PESCADORES DE SAN MIGUEL SC DE RL DE CV,2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,SOPORTE PARA LA VIGILANCIA DE LOS RECURSOS PESQUEROS Y ACUICOLAS,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,18,NAYARIT,118612,ESTATAL,NAY,1805001060,SCPPA PESC DE SAN MIGUEL SC DE RL DE CV,CAPTURA,MORAL,JUAN JOSE PEREZ RAMOS,COOPERATIVA,NAYARIT,18,ROSAMORADA,10,SAN MIGUEL,53,180100053,R,220959,1050242,157,22.166389,-105.045,10/8/1994,31/03/17,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
SCPPA PESCADORES DE SAN MIGUEL SC DE RL DE CV,2016,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,ORDENAMIENTO PESQUERO Y ACUICOLA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,18,NAYARIT,88124,ESTATAL,NAY,1805001060,SCPPA PESC DE SAN MIGUEL SC DE RL DE CV,CAPTURA,MORAL,JUAN JOSE PEREZ RAMOS,COOPERATIVA,NAYARIT,18,ROSAMORADA,10,SAN MIGUEL,53,180100053,R,220959,1050242,157,22.166389,-105.045,10/8/1994,31/03/17,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
